Id,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
1,65,8450,CollgCr,7,5,2003,2003,856,856,854,1710,3,1,8,0,2003,2,548,2008,208500
2,80,9600,Veenker,6,8,1976,1976,1262,1262,0,1262,3,1,6,1,1976,2,460,2007,181500
3,68,11250,CollgCr,7,5,2001,2002,920,920,866,1786,3,1,6,1,2001,2,608,2008,223500
4,60,9550,Crawfor,7,5,1915,1970,756,961,756,1717,3,1,7,1,1998,3,642,2006,140000
5,84,14260,NoRidge,8,5,2000,2000,1145,1145,1053,2198,4,1,9,1,2000,3,836,2008,250000
6,85,14115,Mitchel,5,5,1993,1995,796,796,566,1362,1,1,5,0,1993,2,480,2009,143000
7,75,10084,Somerst,8,5,2004,2005,1686,1694,0,1694,3,1,7,1,2004,2,636,2007,307000
8,NA,10382,NWAmes,7,6,1973,1973,1107,1107,983,2090,3,1,7,2,1973,2,484,2009,200000
9,51,6120,OldTown,7,5,1931,1950,952,1022,752,1774,2,2,8,2,1931,2,468,2008,129900
10,50,7420,BrkSide,5,6,1939,1950,991,1077,0,1077,2,2,5,2,1939,1,205,2008,118000
11,70,11200,Sawyer,5,5,1965,1965,1040,1040,0,1040,3,1,5,0,1965,1,384,2008,129500
12,85,11924,NridgHt,9,5,2005,2006,1175,1182,1142,2324,4,1,11,2,2005,3,736,2006,345000
13,NA,12968,Sawyer,5,6,1962,1962,912,912,0,912,2,1,4,0,1962,1,352,2008,144000
14,91,10652,CollgCr,7,5,2006,2007,1494,1494,0,1494,3,1,7,1,2006,3,840,2007,279500
15,NA,10920,NAmes,6,5,1960,1960,1253,1253,0,1253,2,1,5,1,1960,1,352,2008,157000
16,51,6120,BrkSide,7,8,1929,2001,832,854,0,854,2,1,5,0,1991,2,576,2007,132000
17,NA,11241,NAmes,6,7,1970,1970,1004,1004,0,1004,2,1,5,1,1970,2,480,2010,149000
18,72,10791,Sawyer,4,5,1967,1967,0,1296,0,1296,2,2,6,0,1967,2,516,2006,90000
19,66,13695,SawyerW,5,5,2004,2004,1114,1114,0,1114,3,1,6,0,2004,2,576,2008,159000
20,70,7560,NAmes,5,6,1958,1965,1029,1339,0,1339,3,1,6,0,1958,1,294,2009,139000
21,101,14215,NridgHt,8,5,2005,2006,1158,1158,1218,2376,4,1,9,1,2005,3,853,2006,325300
22,57,7449,IDOTRR,7,7,1930,1950,637,1108,0,1108,3,1,6,1,1930,1,280,2007,139400
23,75,9742,CollgCr,8,5,2002,2002,1777,1795,0,1795,3,1,7,1,2002,2,534,2008,230000
24,44,4224,MeadowV,5,7,1976,1976,1040,1060,0,1060,3,1,6,1,1976,2,572,2007,129900
25,NA,8246,Sawyer,5,8,1968,2001,1060,1060,0,1060,3,1,6,1,1968,1,270,2010,154000
26,110,14230,NridgHt,8,5,2007,2007,1566,1600,0,1600,3,1,7,1,2007,3,890,2009,256300
27,60,7200,NAmes,5,7,1951,2000,900,900,0,900,3,1,5,0,2005,2,576,2010,134800
28,98,11478,NridgHt,8,5,2007,2008,1704,1704,0,1704,3,1,7,1,2008,3,772,2010,306000
29,47,16321,NAmes,5,6,1957,1997,1484,1600,0,1600,2,1,6,2,1957,1,319,2006,207500
30,60,6324,BrkSide,4,6,1927,1950,520,520,0,520,1,1,4,0,1920,1,240,2008,68500
